Sektor;Jahr;CO2_Emissionen_Mio_t
ohne LULUCF;1990;1252397.3379769335
mit LULUCF;1990;1288424.6361362373
1 - Energiewirtschaft;1990;474772.20432062686
2 - Industrie;1990;277703.0828141236
3 - Gebäude;1990;210027.3169096282
4 - Verkehr;1990;163355.36656567437
5 - Landwirtschaft;1990;84989.15915719539
6 - Abfallwirtschaft und Sonstiges;1990;41550.208209684955
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1990;36027.29815930377
ohne LULUCF;1991;1206567.46245025
mit LULUCF;1991;1193733.17616862
1 - Energiewirtschaft;1991;459944.8578876024
2 - Industrie;1991;252375.9643288675
3 - Gebäude;1991;208432.29499818265
4 - Verkehr;1991;166303.2354142671
5 - Landwirtschaft;1991;76414.72291086602
6 - Abfallwirtschaft und Sonstiges;1991;43096.38691046424
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1991;-12834.28628163024
ohne LULUCF;1992;1157074.4128812498
mit LULUCF;1992;1139554.499819048
1 - Energiewirtschaft;1992;435675.0083566215
2 - Industrie;1992;241066.98950376714
3 - Gebäude;1992;190277.47448718816
4 - Verkehr;1992;172167.9309822186
5 - Landwirtschaft;1992;74196.456761875
6 - Abfallwirtschaft und Sonstiges;1992;43690.55278957927
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1992;-17519.91306220174
ohne LULUCF;1993;1147917.3742706492
mit LULUCF;1993;1122594.7565787828
1 - Energiewirtschaft;1993;425924.88838227896
2 - Industrie;1993;231345.68923747653
3 - Gebäude;1993;197006.33128836632
4 - Verkehr;1993;176492.86153080547
5 - Landwirtschaft;1993;73737.00926032616
6 - Abfallwirtschaft und Sonstiges;1993;43410.59457139573
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1993;-25322.617691866326
ohne LULUCF;1994;1129646.3103331376
mit LULUCF;1994;1112282.931273859
1 - Energiewirtschaft;1994;420014.32191734033
2 - Industrie;1994;234903.6214356119
3 - Gebäude;1994;186224.97845574917
4 - Verkehr;1994;172463.21803963472
5 - Landwirtschaft;1994;73708.35255229523
6 - Abfallwirtschaft und Sonstiges;1994;42331.81793250603
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1994;-17363.379059278726
ohne LULUCF;1995;1122690.5807970683
mit LULUCF;1995;1116100.533667623
1 - Energiewirtschaft;1995;406935.9822515648
2 - Industrie;1995;236785.28481656502
3 - Gebäude;1995;187711.41388219435
4 - Verkehr;1995;176122.47581564035
5 - Landwirtschaft;1995;74070.77031260087
6 - Abfallwirtschaft und Sonstiges;1995;41064.65371850302
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1995;-6590.047129445336
ohne LULUCF;1996;1140026.4964040145
mit LULUCF;1996;1132834.9264207336
1 - Energiewirtschaft;1996;412872.03705447976
2 - Industrie;1996;225570.71931643365
3 - Gebäude;1996;210884.96426407155
4 - Verkehr;1996;175706.3771900019
5 - Landwirtschaft;1996;75722.8749192177
6 - Abfallwirtschaft und Sonstiges;1996;39269.523659810075
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1996;-7191.569983280854
ohne LULUCF;1997;1104232.8316643634
mit LULUCF;1997;1095821.2078563583
1 - Energiewirtschaft;1997;391009.00720995315
2 - Industrie;1997;230129.7274488435
3 - Gebäude;1997;197654.54104077065
4 - Verkehr;1997;176120.93224476895
5 - Landwirtschaft;1997;73354.39381803393
6 - Abfallwirtschaft und Sonstiges;1997;35964.229901993094
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1997;-8411.623808005035
ohne LULUCF;1998;1079170.8689804224
mit LULUCF;1998;1064363.7946238816
1 - Energiewirtschaft;1998;390959.46894831874
2 - Industrie;1998;213140.65542267766
3 - Gebäude;1998;189510.9555123064
4 - Verkehr;1998;179396.53155795173
5 - Landwirtschaft;1998;72729.91800248259
6 - Abfallwirtschaft und Sonstiges;1998;33433.33953668518
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1998;-14807.074356540714
ohne LULUCF;1999;1045171.8487015408
mit LULUCF;1999;1034922.177871474
1 - Energiewirtschaft;1999;379987.86231606844
2 - Industrie;1999;203031.84220372024
3 - Gebäude;1999;172831.56155428855
4 - Verkehr;1999;184529.66147660156
5 - Landwirtschaft;1999;73343.90407395134
6 - Abfallwirtschaft und Sonstiges;1999;31447.01707691074
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;1999;-10249.670830066854
ohne LULUCF;2000;1042347.0185475874
mit LULUCF;2000;1047035.4131937597
1 - Energiewirtschaft;2000;390843.67773868405
2 - Industrie;2000;202597.85035506665
3 - Gebäude;2000;166789.55078696233
4 - Verkehr;2000;180586.38104834093
5 - Landwirtschaft;2000;71957.09858608131
6 - Abfallwirtschaft und Sonstiges;2000;29572.460032452174
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2000;4688.394646172272
ohne LULUCF;2001;1056831.4212003485
mit LULUCF;2001;1053964.6491214144
1 - Energiewirtschaft;2001;400841.31582847907
2 - Industrie;2001;191975.7813343426
3 - Gebäude;2001;187079.52935138243
4 - Verkehr;2001;176693.76623778118
5 - Landwirtschaft;2001;72672.20810007074
6 - Abfallwirtschaft und Sonstiges;2001;27568.820348292542
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2001;-2866.7720789340674
ohne LULUCF;2002;1035156.772890832
mit LULUCF;2002;1062457.5112975694
1 - Energiewirtschaft;2002;400956.39258131466
2 - Industrie;2002;189761.24792463228
3 - Gebäude;2002;174080.90022703956
4 - Verkehr;2002;174183.316555429
5 - Landwirtschaft;2002;70326.87522255833
6 - Abfallwirtschaft und Sonstiges;2002;25848.040379858077
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2002;27300.738406737277
ohne LULUCF;2003;1026713.7061552338
mit LULUCF;2003;1064035.5958260424
1 - Energiewirtschaft;2003;416998.5058683343
2 - Industrie;2003;189097.81904205933
3 - Gebäude;2003;161403.5184242161
4 - Verkehr;2003;165215.87860522547
5 - Landwirtschaft;2003;69935.71517805959
6 - Abfallwirtschaft und Sonstiges;2003;24062.269037338847
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2003;37321.889670808516
ohne LULUCF;2004;1003305.7335300521
mit LULUCF;2004;1028575.9531033456
1 - Energiewirtschaft;2004;411600.83483799745
2 - Industrie;2004;189121.05735574217
3 - Gebäude;2004;153223.95620302894
4 - Verkehr;2004;159629.34165772
5 - Landwirtschaft;2004;68241.32594025001
6 - Abfallwirtschaft und Sonstiges;2004;21489.217535313594
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2004;25270.21957329342
ohne LULUCF;2005;989744.2191011047
mit LULUCF;2005;1011061.4634722478
1 - Energiewirtschaft;2005;402600.94170216646
2 - Industrie;2005;186380.10528444086
3 - Gebäude;2005;157330.87762895427
4 - Verkehr;2005;155559.23573389376
5 - Landwirtschaft;2005;68042.40041269778
6 - Abfallwirtschaft und Sonstiges;2005;19830.658338951438
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2005;21317.244371143184
ohne LULUCF;2006;1003267.4299326952
mit LULUCF;2006;1015196.0262593783
1 - Energiewirtschaft;2006;403126.92360359995
2 - Industrie;2006;190929.28168808113
3 - Gebäude;2006;163748.2479631976
4 - Verkehr;2006;160277.5103930877
5 - Landwirtschaft;2006;67427.15546371737
6 - Abfallwirtschaft und Sonstiges;2006;17758.310821011335
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2006;11928.596326683035
ohne LULUCF;2007;962985.9366047336
mit LULUCF;2007;966658.145824381
1 - Energiewirtschaft;2007;406034.9079138669
2 - Industrie;2007;199080.93744502912
3 - Gebäude;2007;122057.23154044207
4 - Verkehr;2007;152438.39757481345
5 - Landwirtschaft;2007;67137.70303966044
6 - Abfallwirtschaft und Sonstiges;2007;16236.759090921445
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2007;3672.2092196474787
ohne LULUCF;2008;971035.794285957
mit LULUCF;2008;968175.2031191872
1 - Energiewirtschaft;2008;388012.31817760115
2 - Industrie;2008;195583.61002161674
3 - Gebäude;2008;147251.69074958633
4 - Verkehr;2008;157362.10474090397
5 - Landwirtschaft;2008;67986.80041393457
6 - Abfallwirtschaft und Sonstiges;2008;14839.270182314303
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2008;-2860.5911667698897
ohne LULUCF;2009;902261.5545622318
mit LULUCF;2009;902533.9482572709
1 - Energiewirtschaft;2009;361913.9166962154
2 - Industrie;2009;169945.0876249542
3 - Gebäude;2009;137174.290129832
4 - Verkehr;2009;151980.56305632266
5 - Landwirtschaft;2009;67802.20895914665
6 - Abfallwirtschaft und Sonstiges;2009;13445.488095760964
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2009;272.3936950390953
ohne LULUCF;2010;930249.826224669
mit LULUCF;2010;935554.7496845243
1 - Energiewirtschaft;2010;372637.07419132604
2 - Industrie;2010;184059.48457331423
3 - Gebäude;2010;142933.41752797333
4 - Verkehr;2010;150448.1655550782
5 - Landwirtschaft;2010;67979.7325726801
6 - Abfallwirtschaft und Sonstiges;2010;12191.951804297189
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2010;5304.923459855305
ohne LULUCF;2011;906735.1601484697
mit LULUCF;2011;905519.0585435758
1 - Energiewirtschaft;2011;367709.702457737
2 - Industrie;2011;182195.9499490874
3 - Gebäude;2011;124657.41541667213
4 - Verkehr;2011;152304.92939454014
5 - Landwirtschaft;2011;68557.85111347257
6 - Abfallwirtschaft und Sonstiges;2011;11309.311816960442
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2011;-1216.1016048939546
ohne LULUCF;2012;916997.1852129394
mit LULUCF;2012;919071.9922785981
1 - Energiewirtschaft;2012;379347.88118184305
2 - Industrie;2012;177381.01732424117
3 - Gebäude;2012;130369.04622321548
4 - Verkehr;2012;150641.4789837765
5 - Landwirtschaft;2012;68774.3081582498
6 - Abfallwirtschaft und Sonstiges;2012;10483.4533416133
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2012;2074.807065658726
ohne LULUCF;2013;933985.9320166089
mit LULUCF;2013;933525.594353346
1 - Energiewirtschaft;2013;383702.31874884473
2 - Industrie;2013;177046.41104837396
3 - Gebäude;2013;139109.51038067078
4 - Verkehr;2013;154682.03767280487
5 - Landwirtschaft;2013;69757.92338634076
6 - Abfallwirtschaft und Sonstiges;2013;9687.730779573738
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2013;-460.33766326283535
ohne LULUCF;2014;893549.4864629342
mit LULUCF;2014;903696.4779909323
1 - Energiewirtschaft;2014;362725.928282155
2 - Industrie;2014;176289.29367334745
3 - Gebäude;2014;120288.92829877765
4 - Verkehr;2014;153852.80678059557
5 - Landwirtschaft;2014;71330.20594220061
6 - Abfallwirtschaft und Sonstiges;2014;9062.323485857944
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2014;10146.991527998154
ohne LULUCF;2015;901825.9981888657
mit LULUCF;2015;907557.4346891023
1 - Energiewirtschaft;2015;351321.4008546934
2 - Industrie;2015;183018.75305607606
3 - Gebäude;2015;126239.30646152454
4 - Verkehr;2015;161681.12466493333
5 - Landwirtschaft;2015;71121.93672324785
6 - Abfallwirtschaft und Sonstiges;2015;8443.476428390622
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2015;5731.436500236682
ohne LULUCF;2016;897287.2266037501
mit LULUCF;2016;906163.7739488019
1 - Energiewirtschaft;2016;346328.71761389903
2 - Industrie;2016;186837.80660551463
3 - Gebäude;2016;121504.68550106342
4 - Verkehr;2016;163803.82202437118
5 - Landwirtschaft;2016;70907.81905102143
6 - Abfallwirtschaft und Sonstiges;2016;7904.375807880371
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2016;8876.547345051791
ohne LULUCF;2017;882232.0536727895
mit LULUCF;2017;886219.0109114056
1 - Energiewirtschaft;2017;326500.6910436904
2 - Industrie;2017;192584.11720378124
3 - Gebäude;2017;121129.96153484768
4 - Verkehr;2017;165176.4215514142
5 - Landwirtschaft;2017;69315.03529169229
6 - Abfallwirtschaft und Sonstiges;2017;7525.827047363648
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2017;3986.957238616068
ohne LULUCF;2018;852858.3418921161
mit LULUCF;2018;936055.378519234
1 - Energiewirtschaft;2018;310851.0664619198
2 - Industrie;2018;184966.05950656452
3 - Gebäude;2018;116109.50283078862
4 - Verkehr;2018;165380.6157678537
5 - Landwirtschaft;2018;68419.82206431136
6 - Abfallwirtschaft und Sonstiges;2018;7131.2752606781605
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2018;83197.03662711791
ohne LULUCF;2019;798048.0513467151
mit LULUCF;2019;870169.0763845302
1 - Energiewirtschaft;2019;258283.02963996082
2 - Industrie;2019;179318.3250005127
3 - Gebäude;2019;122296.1261778985
4 - Verkehr;2019;164323.970069954
5 - Landwirtschaft;2019;67220.2767928052
6 - Abfallwirtschaft und Sonstiges;2019;6606.323665584022
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2019;72121.02503781505
ohne LULUCF;2020;732993.3417312751
mit LULUCF;2020;809649.1542950972
1 - Energiewirtschaft;2020;219037.65428068594
2 - Industrie;2020;172577.2476282672
3 - Gebäude;2020;122497.11358722101
4 - Verkehr;2020;146385.7426834981
5 - Landwirtschaft;2020;66374.14011194272
6 - Abfallwirtschaft und Sonstiges;2020;6121.443439660008
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2020;76655.81256382211
ohne LULUCF;2021;761426.7549807999
mit LULUCF;2021;824513.9856265325
1 - Energiewirtschaft;2021;246421.430453738
2 - Industrie;2021;180292.99681195212
3 - Gebäude;2021;119286.78221917644
4 - Verkehr;2021;144599.0299664432
5 - Landwirtschaft;2021;64911.07948409106
6 - Abfallwirtschaft und Sonstiges;2021;5915.43604539901
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2021;63087.23064573266
ohne LULUCF;2022;748792.7134137771
mit LULUCF;2022;824396.1794665984
1 - Energiewirtschaft;2022;256670.41825982218
2 - Industrie;2022;164365.1491960417
3 - Gebäude;2022;110514.63428514957
4 - Verkehr;2022;147690.87538349463
5 - Landwirtschaft;2022;63902.02238087897
6 - Abfallwirtschaft und Sonstiges;2022;5649.6139083900425
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2022;75603.46605282142
ohne LULUCF;2023;672020.3245275941
mit LULUCF;2023;740673.1284258906
1 - Energiewirtschaft;2023;202582.41705156237
2 - Industrie;2023;152923.73867221884
3 - Gebäude;2023;102933.00019870455
4 - Verkehr;2023;145131.15862852722
5 - Landwirtschaft;2023;62959.986688698205
6 - Abfallwirtschaft und Sonstiges;2023;5490.023287883018
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2023;68652.80389829648
ohne LULUCF;2024;649058.6592924459
mit LULUCF;2024;700347.3566882291
1 - Energiewirtschaft;2024;184993.88634258282
2 - Industrie;2024;153007.27310826123
3 - Gebäude;2024;100536.2340247776
4 - Verkehr;2024;143054.7682481537
5 - Landwirtschaft;2024;62110.99362327177
6 - Abfallwirtschaft und Sonstiges;2024;5355.503945398727
7 - Landnutzung, Landnutzungsänderung und Forstwirtschaft;2024;51288.69739578321
